"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\groupSelector.jsx", "JavaScript JSX", 0, 98, 0, 0, 0, 0, 0, 1, 12, 111
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\languageSelector.jsx", "JavaScript JSX", 0, 120, 0, 0, 0, 0, 0, 1, 14, 135
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\navbar.jsx", "JavaScript JSX", 0, 80, 0, 0, 0, 0, 0, 23, 11, 114
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Components\wordSelector.jsx", "JavaScript JSX", 0, 150, 0, 0, 0, 0, 0, 0, 18, 168
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Pages\dictionary.jsx", "JavaScript JSX", 0, 1222, 0, 0, 0, 0, 0, 113, 25, 1360
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Pages\home.jsx", "JavaScript JSX", 0, 216, 0, 0, 0, 0, 0, 1, 19, 236
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Pages\login.jsx", "JavaScript JSX", 0, 71, 0, 0, 0, 0, 0, 1, 10, 82
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Pages\register.jsx", "JavaScript JSX", 0, 99, 0, 0, 0, 0, 0, 2, 14, 115
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\Pages\word.jsx", "JavaScript JSX", 0, 1092, 0, 0, 0, 0, 0, 1, 75, 1168
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\assets\pencil-square.svg", "XML", 0, 0, 0, 36, 0, 0, 0, 1, 2, 39
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\index.css", "CSS", 0, 0, 60, 0, 0, 0, 0, 0, 8, 68
"c:\Users\marca\Documents\GitHub\Elatha\frontend\src\main.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\marca\Documents\GitHub\Elatha\frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 2449, 10187, 461, 38, 7, 5718, 16, 292, 1302, 20470
